=== 建築基準法（法） ===,,,
法第57の5条,第1項,,A57_5_P1_kijo.json
法第57の5条,第2項,,A57_5_P2_kijo.json
法第57の5条,第3項,,A57_5_P3_kijo.json
法第57の5条,第4項,,A57_5_P4_kijo.json
法第58条,第1項,,A58_P1_kijo.json
法第58条,第2項,,A58_P2_kijo.json
法第59条,第1項,,A59_P1_kijo.json
法第59条,第1項,第1号,A59_P1_I1_kijo.json
法第59条,第2項,,A59_P2_kijo.json
法第59条,第3項,,A59_P3_kijo.json
法第59条,第4項,,A59_P4_kijo.json
法第59の2条,第1項,,A59_2_P1_kijo.json
法第60条,第1項,,A60_P1_kijo.json
法第60条,第2項,,A60_P2_kijo.json
法第60条,第3項,,A60_P3_kijo.json
法第60の2条,第1項,,A60_2_P1_kijo.json
法第60の2条,第1項,第1号,A60_2_P1_I1_kijo.json
法第60の2条,第2項,,A60_2_P2_kijo.json
法第60の2条,第3項,,A60_2_P3_kijo.json
法第60の2条,第4項,,A60_2_P4_kijo.json
法第60の2条,第5項,,A60_2_P5_kijo.json
法第60の2条,第6項,,A60_2_P6_kijo.json
法第61条,第1項,,A61_P1_kijo.json
法第61条,第2項,,A61_P2_kijo.json
法第62条,第1項,,A62_P1_kijo.json
法第63条,第1項,,A63_P1_kijo.json
法第64条,第1項,,A64_P1_kijo.json
法第65条,第1項,,A65_P1_kijo.json
法第65条,第2項,,A65_P2_kijo.json
法第67条,第1項,,A67_P1_kijo.json
法第67条,第2項,,A67_P2_kijo.json
法第67条,第3項,,A67_P3_kijo.json
法第67条,第4項,,A67_P4_kijo.json
法第67条,第5項,,A67_P5_kijo.json
法第67条,第6項,,A67_P6_kijo.json
法第67条,第7項,,A67_P7_kijo.json
法第67条,第8項,,A67_P8_kijo.json
法第67条,第9項,,A67_P9_kijo.json
法第68条,第1項,,A68_P1_kijo.json
法第68条,第2項,,A68_P2_kijo.json
法第68条,第3項,,A68_P3_kijo.json
法第68条,第4項,,A68_P4_kijo.json
法第68条,第5項,,A68_P5_kijo.json
法第68の2条,第1項,,A68_2_P1_kijo.json
法第68の2条,第2項,,A68_2_P2_kijo.json
法第68の2条,第3項,,A68_2_P3_kijo.json
法第68の2条,第4項,,A68_2_P4_kijo.json
法第68の2条,第5項,,A68_2_P5_kijo.json
法第68の3条,第1項,,A68_3_P1_kijo.json
法第68の3条,第2項,,A68_3_P2_kijo.json
法第68の3条,第3項,,A68_3_P3_kijo.json
法第68の3条,第4項,,A68_3_P4_kijo.json
法第68の3条,第7項,,A68_3_P7_kijo.json
法第68の4条,第1項,,A68_4_P1_kijo.json
法第68の4条,第1項,第1号,A68_4_P1_I1_kijo.json
法第68の5条,第1項,,A68_5_P1_kijo.json
法第68の5の2条,第1項,,A68_5_2_P1_kijo.json
法第68の5の3条,第1項,,A68_5_3_P1_kijo.json
法第68の5の3条,第2項,,A68_5_3_P2_kijo.json
法第68の5の4条,第1項,,A68_5_4_P1_kijo.json
法第68の5の4条,第1項,第1号,A68_5_4_P1_I1_kijo.json
法第68の5の5条,第1項,,A68_5_5_P1_kijo.json
法第68の5の5条,第2項,,A68_5_5_P2_kijo.json
法第68の7条,第1項,,A68_7_P1_kijo.json
法第68の7条,第1項,第1号,A68_7_P1_I1_kijo.json
法第68の7条,第2項,,A68_7_P2_kijo.json
法第68の7条,第4項,,A68_7_P4_kijo.json
法第68の7条,第5項,,A68_7_P5_kijo.json
法第68の9条,第1項,,A68_9_P1_kijo.json
法第68の9条,第2項,,A68_9_P2_kijo.json
法第84条,第1項,,A84_P1_kijo.json
法第84条,第2項,,A84_P2_kijo.json
法第84の2条,第1項,,A84_2_P1_kijo.json
法第85条,第1項,,A85_P1_kijo.json
法第85条,第2項,,A85_P2_kijo.json
法第85条,第3項,,A85_P3_kijo.json
法第85条,第4項,,A85_P4_kijo.json
法第85条,第5項,,A85_P5_kijo.json
法第85条,第6項,,A85_P6_kijo.json
法第85条,第7項,,A85_P7_kijo.json
法第85条,第8項,,A85_P8_kijo.json
法第85の2条,第1項,,A85_2_P1_kijo.json
法第85の3条,第1項,,A85_3_P1_kijo.json
法第86条,第1項,,A86_P1_kijo.json
法第86条,第2項,,A86_P2_kijo.json
法第86条,第3項,,A86_P3_kijo.json
法第86条,第4項,,A86_P4_kijo.json
法第86条,第6項,,A86_P6_kijo.json
法第86条,第8項,,A86_P8_kijo.json
法第86の2条,第1項,,A86_2_P1_kijo.json
法第86の2条,第2項,,A86_2_P2_kijo.json
法第86の2条,第3項,,A86_2_P3_kijo.json
法第86の2条,第4項,,A86_2_P4_kijo.json
法第86の2条,第6項,,A86_2_P6_kijo.json
法第86の4条,第1項,,A86_4_P1_kijo.json
法第86の6条,第1項,,A86_6_P1_kijo.json
法第86の6条,第2項,,A86_6_P2_kijo.json
法第86の7条,第1項,,A86_7_P1_kijo.json
法第86の7条,第2項,,A86_7_P2_kijo.json
法第86の7条,第3項,,A86_7_P3_kijo.json
法第86の7条,第4項,,A86_7_P4_kijo.json
法第86の9条,第1項,,A86_9_P1_kijo.json
法第86の9条,第1項,第1号,A86_9_P1_I1_kijo.json
法第86の9条,第1項,第2号,A86_9_P1_I2_kijo.json
法第86の9条,第2項,,A86_9_P2_kijo.json
法第87条,第1項,,A87_P1_kijo.json
法第87条,第3項,第3号,A87_P3_I3_kijo.json
法第87条,第4項,,A87_P4_kijo.json
法第87の3条,第1項,,A87_3_P1_kijo.json
法第87の3条,第2項,,A87_3_P2_kijo.json
法第87の3条,第3項,,A87_3_P3_kijo.json
法第87の3条,第4項,,A87_3_P4_kijo.json
法第87の3条,第5項,,A87_3_P5_kijo.json
法第87の3条,第6項,,A87_3_P6_kijo.json
法第87の3条,第7項,,A87_3_P7_kijo.json
法第87の3条,第8項,,A87_3_P8_kijo.json
,,,
=== 建築基準法施行令（令） ===,,,
法令,項,号,ファイル名
令第108条,第1項,,A108_P1_kijo.json
令第108の4条,第1項,,A108_4_P1_kijo.json
令第108の4条,第1項,第1号,A108_4_P1_I1_kijo.json
令第108の4条,第2項,,A108_4_P2_kijo.json
令第108の4条,第2項,第1号,A108_4_P2_I1_kijo.json
令第108の4条,第2項,第2号,A108_4_P2_I2_kijo.json
令第108の4条,第2項,第3号,A108_4_P2_I3_kijo.json
令第108の4条,第5項,,A108_4_P5_kijo.json
令第108の4条,第5項,第2号,A108_4_P5_I2_kijo.json
令第109の2の2条,第1項,,A109_2_2_P1_kijo.json
令第112条,第1項,,A112_P1_kijo.json
令第112条,第3項,,A112_P3_kijo.json
令第112条,第4項,,A112_P4_kijo.json
令第112条,第4項,第1号,A112_P4_I1_kijo.json
令第112条,第5項,,A112_P5_kijo.json
令第112条,第6項,,A112_P6_kijo.json
令第112条,第7項,,A112_P7_kijo.json
令第112条,第8項,,A112_P8_kijo.json
令第112条,第9項,,A112_P9_kijo.json
令第112条,第10項,,A112_P10_kijo.json
令第112条,第11項,,A112_P11_kijo.json
令第112条,第11項,第1号,A112_P11_I1_kijo.json
令第112条,第12項,,A112_P12_kijo.json
令第112条,第13項,,A112_P13_kijo.json
令第112条,第14項,,A112_P14_kijo.json
令第112条,第14項,第1号,A112_P14_I1_kijo.json
令第112条,第14項,第2号,A112_P14_I2_kijo.json
令第112条,第15項,,A112_P15_kijo.json
令第112条,第16項,,A112_P16_kijo.json
令第112条,第17項,,A112_P17_kijo.json
令第112条,第18項,,A112_P18_kijo.json
令第112条,第19項,,A112_P19_kijo.json
令第112条,第19項,第1号,A112_P19_I1_kijo.json
令第112条,第20項,,A112_P20_kijo.json
令第112条,第21項,,A112_P21_kijo.json
令第114条,第1項,,A114_P1_kijo.json
令第114条,第2項,,A114_P2_kijo.json
令第114条,第3項,,A114_P3_kijo.json
令第114条,第3項,第3号,A114_P3_I3_kijo.json
令第114条,第3項,第4号,A114_P3_I4_kijo.json
令第114条,第4項,,A114_P4_kijo.json
令第114条,第5項,,A114_P5_kijo.json
令第115条,第1項,,A115_P1_kijo.json
令第115条,第1項,第3号,A115_P1_I3_kijo.json
令第115条,第1項,第7号,A115_P1_I7_kijo.json
令第115条,第2項,,A115_P2_kijo.json
令第128条,第1項,,A128_P1_kijo.json
令第128の7条,第1項,,A128_7_P1_kijo.json
令第128の7条,第2項,,A128_7_P2_kijo.json
令第128の7条,第3項,第1号,A128_7_P3_I1_kijo.json
令第128の7条,第3項,第2号,A128_7_P3_I2_kijo.json
令第129条,第1項,,A129_P1_kijo.json
令第129条,第2項,,A129_P2_kijo.json
令第129条,第3項,第1号,A129_P3_I1_kijo.json
令第129条,第3項,第2号,A129_P3_I2_kijo.json
令第129の2条,第1項,,A129_2_P1_kijo.json
令第129の2条,第2項,,A129_2_P2_kijo.json
令第129の2条,第4項,第1号,A129_2_P4_I1_kijo.json
令第129の2条,第4項,第2号,A129_2_P4_I2_kijo.json
令第129の2の3条,第1項,,A129_2_3_P1_kijo.json
令第129の2の3条,第1項,第3号,A129_2_3_P1_I3_kijo.json
令第129の2の4条,第1項,,A129_2_4_P1_kijo.json
令第129の2の4条,第1項,第6号,A129_2_4_P1_I6_kijo.json
令第129の2の4条,第1項,第7号,A129_2_4_P1_I7_kijo.json
令第129の2の4条,第1項,第8号,A129_2_4_P1_I8_kijo.json
令第129の2の4条,第2項,,A129_2_4_P2_kijo.json
令第129の2の4条,第2項,第6号,A129_2_4_P2_I6_kijo.json
令第129の2の4条,第3項,,A129_2_4_P3_kijo.json
令第129の2の4条,第3項,第5号,A129_2_4_P3_I5_kijo.json
令第129の2の5条,第1項,,A129_2_5_P1_kijo.json
令第129の2の5条,第2項,,A129_2_5_P2_kijo.json
令第129の2の5条,第3項,,A129_2_5_P3_kijo.json
令第129の2の6条,第1項,,A129_2_6_P1_kijo.json
令第129の2の6条,第1項,第1号,A129_2_6_P1_I1_kijo.json
令第129の2の6条,第1項,第2号,A129_2_6_P1_I2_kijo.json
令第129の2の6条,第1項,第3号,A129_2_6_P1_I3_kijo.json
令第137の2条,第1項,,A137_2_P1_kijo.json
令第137の2条,第1項,第1号,A137_2_P1_I1_kijo.json
令第137の2条,第1項,第2号,A137_2_P1_I2_kijo.json
令第137の2条,第1項,第3号,A137_2_P1_I3_kijo.json
令第137の2の2条,第1項,,A137_2_2_P1_kijo.json
令第137の2の2条,第1項,第1号,A137_2_2_P1_I1_kijo.json
令第137の2の2条,第1項,第2号,A137_2_2_P1_I2_kijo.json
令第137の2の2条,第2項,,A137_2_2_P2_kijo.json
令第137の2の2条,第2項,第1号,A137_2_2_P2_I1_kijo.json
令第137の2の3条,第1項,,A137_2_3_P1_kijo.json
令第137の2の4条,第1項,,A137_2_4_P1_kijo.json
令第137の2の4条,第1項,第1号,A137_2_4_P1_I1_kijo.json
令第137の2の5条,第1項,,A137_2_5_P1_kijo.json
令第137の3条,第1項,,A137_3_P1_kijo.json
令第137の3条,第1項,第1号,A137_3_P1_I1_kijo.json
令第137の4条,第1項,,A137_4_P1_kijo.json
令第137の4条,第1項,第1号,A137_4_P1_I1_kijo.json
令第137の4の2条,第1項,,A137_4_2_P1_kijo.json
令第137の4の2条,第1項,第3号,A137_4_2_P1_I3_kijo.json
令第137の5条,第1項,,A137_5_P1_kijo.json
令第137の6条,第1項,,A137_6_P1_kijo.json
令第137の6の2条,第1項,,A137_6_2_P1_kijo.json
令第137の6の2条,第2項,,A137_6_2_P2_kijo.json
令第137の6の2条,第2項,第1号,A137_6_2_P2_I1_kijo.json
令第137の6の3条,第1項,,A137_6_3_P1_kijo.json
令第137の6の3条,第2項,,A137_6_3_P2_kijo.json
令第137の6の4条,第1項,,A137_6_4_P1_kijo.json
令第137の6の4条,第2項,,A137_6_4_P2_kijo.json
令第137の6の4条,第2項,第1号,A137_6_4_P2_I1_kijo.json
令第137の7条,第1項,,A137_7_P1_kijo.json
令第137の8条,第1項,,A137_8_P1_kijo.json
令第137の8条,第1項,第3号,A137_8_P1_I3_kijo.json
令第137の9条,第1項,,A137_9_P1_kijo.json
令第137の10条,第1項,,A137_10_P1_kijo.json
令第137の10条,第1項,第1号,A137_10_P1_I1_kijo.json
令第137の11条,第1項,,A137_11_P1_kijo.json
令第137の11条,第1項,第1号,A137_11_P1_I1_kijo.json
令第137の11の2条,第1項,,A137_11_2_P1_kijo.json
令第137の11の3条,第1項,,A137_11_3_P1_kijo.json
令第137の12条,第1項,,A137_12_P1_kijo.json
令第137の12条,第2項,,A137_12_P2_kijo.json
令第137の12条,第3項,,A137_12_P3_kijo.json
令第137の12条,第4項,,A137_12_P4_kijo.json
令第137の12条,第5項,,A137_12_P5_kijo.json
令第137の12条,第6項,,A137_12_P6_kijo.json
令第137の12条,第7項,,A137_12_P7_kijo.json
令第137の12条,第8項,,A137_12_P8_kijo.json
令第137の12条,第8項,第2号,A137_12_P8_I2_kijo.json
令第137の12条,第9項,,A137_12_P9_kijo.json
令第137の12条,第10項,,A137_12_P10_kijo.json
令第137の12条,第11項,,A137_12_P11_kijo.json
令第137の12条,第12項,,A137_12_P12_kijo.json
令第137の12条,第13項,,A137_12_P13_kijo.json
令第137の12条,第14項,,A137_12_P14_kijo.json
令第137の14条,第1項,,A137_14_P1_kijo.json
令第137の16条,第1項,,A137_16_P1_kijo.json
令第137の18条,第1項,,A137_18_P1_kijo.json
令第137の19条,第1項,,A137_19_P1_kijo.json
令第137の19条,第2項,,A137_19_P2_kijo.json
